week_number,cluster,mean_perc_fully_vaccinated,std_perc_fully_vaccinated,mean_VHb,std_VHb,w_month_year
40,1,0.4940687755759766,0.09954321388128917,0.872971378894086,0.00926282762986359,"W-40
Oct 2021"
40,2,0.5064116110260185,0.11853071989204851,0.9158316563141218,0.008561628153580119,"W-40
Oct 2021"
40,3,0.49459043462277824,0.09904301531626164,0.9414890520435987,0.0055348276114655995,"W-40
Oct 2021"
40,4,0.4471979387474497,0.09070307735980426,0.9591206445236646,0.005128597577379921,"W-40
Oct 2021"
40,5,0.37743820121321753,0.09281337818324374,0.9750660683553026,0.005936798998436332,"W-40
Oct 2021"
41,1,0.5913956448073938,0.09081243399964739,0.9141372779937851,0.00730904857961015,"W-41
Oct 2021"
41,2,0.5362615741147188,0.09310810377839515,0.9384695819601333,0.005174507063478797,"W-41
Oct 2021"
41,3,0.48817034332428744,0.09548261799255969,0.9532669890907296,0.004018312041170135,"W-41
Oct 2021"
41,4,0.43887635659933205,0.08302468729931628,0.9670291968991076,0.003991389623237949,"W-41
Oct 2021"
41,5,0.3707550486199765,0.09056503268746663,0.9797554286168125,0.004994141691948305,"W-41
Oct 2021"
42,1,0.5997444340841919,0.08963754235945565,0.9189875470363589,0.006331996141786987,"W-42
Oct 2021"
42,2,0.5537955444110683,0.08947150931277843,0.942725811014407,0.005294325660820363,"W-42
Oct 2021"
42,3,0.5039436920627705,0.09009238499401742,0.9576383691008281,0.003950207028142024,"W-42
Oct 2021"
42,4,0.4451709586125661,0.08179560501186797,0.9692080867211027,0.0028841497339274916,"W-42
Oct 2021"
42,5,0.3808378771055644,0.07875676873833647,0.9800879475448009,0.004273233070819774,"W-42
Oct 2021"
43,1,0.5913079454285044,0.10480606896552089,0.9131248329804491,0.009355548113418702,"W-43
Oct 2021"
43,2,0.560812696555571,0.09450667293621806,0.9429667625823803,0.006255763396775471,"W-43
Oct 2021"
43,3,0.5182493735585777,0.08803911678467619,0.9593344056653217,0.004076636270409797,"W-43
Oct 2021"
43,4,0.4491401956112859,0.07787066284918527,0.9714726508790419,0.003079926505230734,"W-43
Oct 2021"
43,5,0.371553584789633,0.07603312109975864,0.9816715850320248,0.003918266981692161,"W-43
Oct 2021"
