Feature,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Total SHAP,Week,Ranking,C1 Ranking,C5 Ranking,Index Name,week_number,w_month_year
Stringency Index,0.0079471404528379,0.0104185645068391,0.0089571728884664,0.0079019748440057,0.0051866910725073,0.0404115437646567,25,13,11,20,F21,25,"W-25
Jun 2021"
Stringency Index,0.008817535240603,0.0106099741506714,0.0097743529959239,0.0065141959829255,0.0043842075238006,0.0401002658939245,26,11,10,23,F21,26,"W-26
Jun 2021"
Stringency Index,0.0083843291065269,0.0105122457246442,0.0115139560619454,0.0070007901595162,0.005186467706528,0.0425977887591609,27,13,12,21,F21,27,"W-27
Jul 2021"
Stringency Index,0.0050083007028482,0.0077776112729131,0.0051959235567878,0.0056124684271118,0.004176944397862,0.027771248357523,28,26,22,28,F21,28,"W-28
Jul 2021"
Stringency Index,0.007730127348798,0.0092432080778154,0.0076147905936045,0.007329639363826,0.0080878467493132,0.0400056121333571,29,17,19,19,F21,29,"W-29
Jul 2021"
Stringency Index,0.0088610370296475,0.0145723405817708,0.0138686397916781,0.0125132165614011,0.0124021682453469,0.0622174022098446,30,9,15,9,F21,30,"W-30
Jul 2021"
Stringency Index,0.0207237258090913,0.0084382467141527,0.0147666707480588,0.0079238901333342,0.0106377698288056,0.0624903032334427,31,8,6,11,F21,31,"W-31
Aug 2021"
Stringency Index,0.0291776388189556,0.0124421972664189,0.0104087595176178,0.0118668650845877,0.013999199412535,0.0778946601001153,32,7,4,7,F21,32,"W-32
Aug 2021"
Stringency Index,0.0533097508617379,0.0187429248298176,0.0137737687434227,0.0167229968520754,0.0227107550452852,0.125260196332339,33,4,2,3,F21,33,"W-33
Aug 2021"
Stringency Index,0.0502057410472556,0.012655535639646,0.0141699703351415,0.0156907857577519,0.0211803988020434,0.1139024315818387,34,5,1,6,F21,34,"W-34
Aug 2021"
Stringency Index,0.0083514505438377,0.0068529794676061,0.0113580365586338,0.0069780437020547,0.0092391626916572,0.0427796729637897,35,13,13,13,F21,35,"W-35
Aug 2021"
Stringency Index,0.0124495699671606,0.015602400723116,0.0142951010767822,0.0121933444873374,0.0200785431249804,0.0746189593793768,36,4,9,5,F21,36,"W-36
Sep 2021"
Stringency Index,0.0232722467745218,0.0151036697907831,0.0239591599328425,0.0153359823621107,0.0173710990401499,0.0950421579004082,37,4,3,7,F21,37,"W-37
Sep 2021"
Stringency Index,0.0270302757263176,0.0161660547221042,0.0261810308699249,0.0141969447344832,0.018210048826464,0.1017843548792941,38,4,3,6,F21,38,"W-38
Sep 2021"
Stringency Index,0.0376608258167689,0.0208086637867553,0.0245646534781486,0.0235972386070842,0.035157621028534,0.1417890027172912,39,2,2,2,F21,39,"W-39
Sep 2021"
Stringency Index,0.0460179870609958,0.0236030899203988,0.0383827619079202,0.0172712345595092,0.0151512572598687,0.1404263307086929,40,2,1,9,F21,40,"W-40
Oct 2021"
Stringency Index,0.02078454591207,0.0210235127881468,0.0121985092942545,0.0222702799655201,0.0223963844961055,0.098673232456097,41,4,4,5,F21,41,"W-41
Oct 2021"
Stringency Index,0.0272299351638817,0.0289219017052148,0.0140782537362481,0.0204630752186322,0.0357070563101171,0.1264002221340941,42,2,3,2,F21,42,"W-42
Oct 2021"
Stringency Index,0.0267835797500487,0.0206095436032248,0.0134283604628053,0.0135882638323892,0.0099539124501978,0.084363660098666,43,5,2,13,F21,43,"W-43
Oct 2021"
